Mes,Alquiler,Suministros,Seguros,Colegial,Procuradores,Software,Formacion,Marketing,Otros,Total
Enero,1200,180,2150,1490,0,89,0,0,120,5229
Febrero,1200,175,0,0,0,89,480,0,85,2029
Marzo,1200,190,0,0,450,89,0,0,95,2024
Abril,1200,165,0,0,0,89,320,150,110,2034
Mayo,1200,185,0,0,0,89,0,0,75,1549
Junio,1200,170,0,0,0,89,0,0,90,1549
Julio,1200,195,0,0,0,89,0,0,105,1589
Agosto,1200,140,0,0,0,89,0,0,60,1489
Septiembre,1200,180,0,0,0,89,0,200,95,1764
Octubre,1200,175,0,0,380,89,0,0,110,1954
Noviembre,1200,185,0,0,0,89,0,0,85,1559
Diciembre,1200,200,0,0,0,89,0,0,150,1639
