Cliente,Total_pendiente,Corriente,30_dias,60_dias,90_dias,Mas_90_dias
Distribuciones Garzon S.L.,85200.00,42500.00,28700.00,14000.00,0.00,0.00
Almacenes Martinez e Hijos S.L.,52800.00,18200.00,22100.00,12500.00,0.00,0.00
Logistica del Mediterraneo S.A.,48500.00,28500.00,12000.00,8000.00,0.00,0.00
Distribuciones Almeida Lda.,35600.00,22100.00,13500.00,0.00,0.00,0.00
Transportes Reunidos Valencia S.L.,42300.00,15800.00,18500.00,8000.00,0.00,0.00
Comercial Iberica de Envios S.A.,38900.00,22400.00,16500.00,0.00,0.00,0.00
Almacenes del Levante S.L.,45700.00,0.00,8200.00,12000.00,13000.00,12500.00
Fresh Logistics Spain S.L.,28500.00,18500.00,10000.00,0.00,0.00,0.00
Grupo Navarro Distribuciones,22000.00,14000.00,8000.00,0.00,0.00,0.00
Puerto Seco Valencia S.A.,13000.00,8000.00,5000.00,0.00,0.00,0.00
Total,412500.00,190000.00,142500.00,54500.00,13000.00,12500.00
