Proveedor,Total_pendiente,Corriente,30_dias,60_dias,90_dias,Mas_90_dias
TransEuropa S.A.,68500.00,32000.00,21500.00,15000.00,0.00,0.00
Envases Iberia S.L.,42300.00,28500.00,13800.00,0.00,0.00,0.00
Inmobiliaria Levante 2000 S.L.,18000.00,9000.00,9000.00,0.00,0.00,0.00
SAP Espana S.A.,24000.00,24000.00,0.00,0.00,0.00,0.00
Deloitte S.L.,18000.00,0.00,18000.00,0.00,0.00,0.00
Mapfre Seguros,16275.00,16275.00,0.00,0.00,0.00,0.00
Logistica Integral Levante S.L.,35200.00,18500.00,12200.00,4500.00,0.00,0.00
Repsol (combustible),28400.00,14200.00,14200.00,0.00,0.00,0.00
Asesoria Fiscal R. Castillo,9600.00,4800.00,4800.00,0.00,0.00,0.00
Telefonica Empresas,8500.00,4250.00,4250.00,0.00,0.00,0.00
Suministros Industriales Paterna S.L.,15800.00,8000.00,5200.00,2600.00,0.00,0.00
Varios proveedores menores,100425.00,62475.00,25450.00,8500.00,4000.00,0.00
Total,385000.00,222000.00,128400.00,30600.00,4000.00,0.00
