Partida,Importe
ACTIVO NO CORRIENTE,
Inmovilizado material,1245000.00
Inmovilizado intangible,96000.00
Inversiones financieras a largo plazo,25000.00
Total activo no corriente,1366000.00
,
ACTIVO CORRIENTE,
Existencias,185000.00
Clientes y cuentas por cobrar,412500.00
Otros deudores,35800.00
Inversiones financieras a corto plazo,0.00
Periodificaciones a corto plazo,18200.00
Tesoreria,142500.00
Total activo corriente,794000.00
,
TOTAL ACTIVO,2160000.00
,
PATRIMONIO NETO,
Capital social,120000.00
Reservas legales,24000.00
Reservas voluntarias,485000.00
Resultado ejercicios anteriores,68500.00
Resultado del ejercicio,53282.00
Total patrimonio neto,750782.00
,
PASIVO NO CORRIENTE,
Deudas a largo plazo con entidades de credito,245000.00
Otros pasivos a largo plazo,42000.00
Total pasivo no corriente,287000.00
,
PASIVO CORRIENTE,
Proveedores,385000.00
Acreedores varios,124500.00
Deudas a corto plazo con entidades de credito,115000.00
Hacienda publica acreedora,78218.00
Organismos Seguridad Social,42500.00
Remuneraciones pendientes de pago,68000.00
Periodificaciones a corto plazo,9000.00
Anticipos de clientes,300000.00
Total pasivo corriente,1122218.00
,
TOTAL PATRIMONIO NETO Y PASIVO,2160000.00
