Concepto,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Total_acumulado
Saldo inicial,168500.00,185400.00,178200.00,192500.00,175800.00,168300.00,172400.00,155600.00,128800.00,168500.00
,,,,,,,,,
FLUJO OPERATIVO,,,,,,,,,
Cobros de clientes,195000.00,188000.00,205000.00,198500.00,202000.00,208000.00,200500.00,140000.00,198000.00,1735000.00
Pagos a proveedores,-92000.00,-95000.00,-98000.00,-105000.00,-102000.00,-98000.00,-96000.00,-78000.00,-95000.00,-859000.00
Pagos de personal,-68000.00,-68000.00,-68000.00,-70000.00,-70000.00,-70000.00,-70000.00,-70000.00,-70000.00,-624000.00
Pagos Seguridad Social,-12500.00,-12500.00,-12500.00,-13200.00,-13200.00,-13200.00,-13200.00,-13200.00,-13200.00,-116700.00
Pagos de impuestos,-4800.00,0.00,0.00,-28500.00,0.00,0.00,-32000.00,0.00,0.00,-65300.00
Otros pagos operativos,-5300.00,-4800.00,-5200.00,-5500.00,-5200.00,-5400.00,-5100.00,-4200.00,-5300.00,-46000.00
Total flujo operativo,12400.00,7700.00,21300.00,-23700.00,11600.00,21400.00,-15800.00,-25400.00,14500.00,24000.00
,,,,,,,,,
FLUJO INVERSION,,,,,,,,,
Compra inmovilizado,0.00,0.00,0.00,-8000.00,0.00,-12000.00,0.00,0.00,0.00,-20000.00
Venta inmovilizado,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Total flujo inversion,0.00,0.00,0.00,-8000.00,0.00,-12000.00,0.00,0.00,0.00,-20000.00
,,,,,,,,,
FLUJO FINANCIACION,,,,,,,,,
Disposicion linea credito,10000.00,0.00,0.00,20000.00,0.00,0.00,0.00,0.00,0.00,30000.00
Devolucion linea credito,0.00,-10000.00,0.00,0.00,-15000.00,0.00,0.00,0.00,0.00,-25000.00
Cuota prestamo hipotecario,-2500.00,-2500.00,-2500.00,-2500.00,-2500.00,-2500.00,-2500.00,-2500.00,-2500.00,-22500.00
Pago dividendos,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Gastos financieros,-3000.00,-2400.00,-4500.00,-2500.00,-1600.00,-2800.00,1500.00,1100.00,1500.00,-12700.00
Total flujo financiacion,4500.00,-14900.00,-7000.00,15000.00,-19100.00,-5300.00,-1000.00,-1400.00,-1000.00,-30200.00
,,,,,,,,,
VARIACION NETA TESORERIA,16900.00,-7200.00,14300.00,-16700.00,-7500.00,4100.00,-16800.00,-26800.00,13500.00,-26200.00
,,,,,,,,,
Saldo final,185400.00,178200.00,192500.00,175800.00,168300.00,172400.00,155600.00,128800.00,142300.00,142300.00
