KPI,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
Margen_bruto_pct,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
EBITDA_pct,11.9,11.1,13.2,8.4,9.1,9.9,8.7,-5.3,8.5,8.5,7.8,-9.2
Ratio_liquidez,0.71,0.72,0.74,0.68,0.69,0.70,0.68,0.62,0.71,0.72,0.71,0.65
Periodo_cobro_dias,58,62,55,60,58,56,62,68,57,58,60,65
Periodo_pago_dias,42,45,40,48,44,42,45,52,44,43,44,48
Working_capital,-285000.00,-298000.00,-272000.00,-310000.00,-295000.00,-285000.00,-302000.00,-345000.00,-278000.00,-280000.00,-290000.00,-320000.00
DSO,58,62,55,60,58,56,62,68,57,58,60,65
DPO,42,45,40,48,44,42,45,52,44,43,44,48
Cash_conversion_cycle,16,17,15,12,14,14,17,16,13,15,16,17
Coste_medio_empleado,1981.40,1981.40,1981.40,1942.20,1942.20,1942.20,1942.20,1942.20,1942.20,1942.20,1942.20,2506.70
