Concepto,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Total
Ingresos por ventas,205300.00,198400.00,215600.00,208700.00,212500.00,218900.00,210800.00,148200.00,209500.00,210000.00,205000.00,186600.00,2429500.00
Coste de ventas,112915.00,109120.00,118580.00,114785.00,116875.00,120395.00,115940.00,81510.00,115225.00,115500.00,112750.00,102630.00,1336225.00
Margen bruto,92385.00,89280.00,97020.00,93915.00,95625.00,98505.00,94860.00,66690.00,94275.00,94500.00,92250.00,83970.00,1093275.00
Gastos de personal,85200.00,85200.00,85200.00,87400.00,87400.00,87400.00,87400.00,87400.00,87400.00,87400.00,87400.00,112800.00,1066600.00
Alquileres,4500.00,4500.00,4500.00,9000.00,9000.00,9000.00,9000.00,9000.00,9000.00,9000.00,9000.00,9000.00,95000.00
Suministros,5200.00,5100.00,5300.00,6800.00,6600.00,7100.00,7200.00,5800.00,6900.00,6800.00,6700.00,6500.00,76000.00
Transporte subcontratado,2800.00,2600.00,3100.00,2900.00,3200.00,3000.00,2700.00,1800.00,2900.00,3000.00,2800.00,2500.00,33300.00
Seguros,1900.00,1900.00,1900.00,1900.00,1900.00,1900.00,1900.00,1900.00,1900.00,2100.00,2100.00,2100.00,23400.00
Otros gastos operativos,3500.00,3200.00,3800.00,3600.00,3400.00,3700.00,3500.00,2800.00,3600.00,3500.00,3400.00,3200.00,41200.00
EBITDA,24485.00,21980.00,28420.00,17515.00,19325.00,21605.00,18360.00,-7810.00,17775.00,17900.00,16050.00,-17130.00,177475.00
Amortizacion,10500.00,10500.00,10500.00,10500.00,10500.00,10500.00,10500.00,10500.00,10500.00,10500.00,10500.00,10500.00,126000.00
EBIT,13985.00,11480.00,17920.00,7015.00,8825.00,11105.00,7860.00,-18310.00,7275.00,7400.00,5550.00,-27630.00,51475.00
Gastos financieros,1800.00,1800.00,1800.00,1900.00,1900.00,1900.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,23100.00
BAI,12185.00,9680.00,16120.00,5115.00,6925.00,9205.00,5860.00,-20310.00,5275.00,5400.00,3550.00,-29630.00,28375.00
Impuesto sociedades,2924.00,2323.00,3869.00,1228.00,1662.00,2209.00,1406.00,0.00,1266.00,1296.00,852.00,0.00,19035.00
Resultado neto,9261.00,7357.00,12251.00,3887.00,5263.00,6996.00,4454.00,-20310.00,4009.00,4104.00,2698.00,-29630.00,9340.00
