Cliente,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Total
Distribuciones Garzon S.L.,42500.00,38200.00,45300.00,43800.00,44500.00,46200.00,44800.00,32000.00,44200.00,44500.00,43200.00,39500.00,508700.00
Almacenes Martinez e Hijos S.L.,28500.00,27800.00,29500.00,28200.00,29100.00,30200.00,28800.00,20500.00,28500.00,28800.00,28200.00,25800.00,333900.00
Logistica del Mediterraneo S.A.,25200.00,24500.00,26800.00,25500.00,26200.00,27100.00,25800.00,18200.00,25500.00,25800.00,25200.00,22800.00,298600.00
Distribuciones Almeida Lda.,0.00,0.00,0.00,22100.00,18500.00,19200.00,18800.00,12500.00,18500.00,19000.00,18500.00,16800.00,163900.00
Transportes Reunidos Valencia S.L.,22500.00,21800.00,23200.00,18500.00,19800.00,20500.00,19200.00,13500.00,19500.00,19800.00,19500.00,17500.00,235300.00
Comercial Iberica de Envios S.A.,18200.00,17500.00,19800.00,15200.00,16500.00,17800.00,16200.00,11500.00,16200.00,16500.00,16200.00,14500.00,196100.00
Almacenes del Levante S.L.,22800.00,24500.00,23800.00,14200.00,15800.00,14500.00,15200.00,10500.00,14800.00,14200.00,13500.00,12200.00,196000.00
Fresh Logistics Spain S.L.,15200.00,14800.00,16200.00,13500.00,14200.00,14800.00,14500.00,10200.00,14200.00,14000.00,13800.00,12500.00,167900.00
Grupo Navarro Distribuciones,12500.00,12200.00,13200.00,11500.00,12000.00,12500.00,11800.00,8200.00,12000.00,11800.00,11500.00,10500.00,139700.00
Puerto Seco Valencia S.A.,8500.00,8200.00,9000.00,7800.00,8200.00,8500.00,8100.00,5500.00,8200.00,8000.00,7800.00,7200.00,95000.00
Otros clientes menores,9400.00,8900.00,8800.00,8400.00,7700.00,7600.00,7600.00,5600.00,7900.00,7600.00,7600.00,7300.00,94400.00
Total,205300.00,198400.00,215600.00,208700.00,212500.00,218900.00,210800.00,148200.00,209500.00,210000.00,205000.00,186600.00,2429500.00
